RSRP,RSSI,UE_TX_Power,NodeB_RX,Predicted NB_RX
-94.5,-77.9,8.5,-101.9,-100.36341936183511
-90.9,-81.2,3.8,-99.5,-101.53292153942189
-95.5,-74.9,-3.2,-98.2,-101.51759232648183
-102.9,-80.3,-9.1,-115.2,-108.9331290911478
-91.5,-80.6,9.6,-99.0,-100.29928505164155
-96.5,-82.6,-14.0,-108.9,-108.35932126685114
-86.4,-77.6,-8.0,-105.2,-99.95201448071072
-85.2,-73.8,-7.4,-102.0,-97.2174112594825
-87.3,-76.3,-1.1,-92.7,-98.2450148969688
-76.2,-72.4,-10.2,-95.0,-93.04390808479695
-76.8,-72.5,-9.8,-91.7,-93.28279311169818
-88.3,-80.2,-6.0,-104.4,-101.81306896584088
-89.2,-78.2,-7.0,-102.3,-101.31465368183888
-89.2,-75.9,-6.0,-100.3,-99.8515094295199
-84.7,-76.2,-10.0,-96.8,-98.83738698606928
-84.1,-79.0,-11.2,-98.5,-100.35043074794402
-82.7,-77.1,-14.0,-97.6,-99.25515591272861
